	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	225.2	243.8	-0.104079209242484	1.32193505358357	0.712861782134542	0.406864633790382	0.538487447743447	100008567	Gm14964
100009600	58.2	30.8	0.899019716518122	0.0366906674856713	15.0469609209912	0.000756623413904684	0.00360099928369388	100009600	Zglp1
100017	19.6	20	-0.0343756396175032	1.45647654350106	0.0806500981054045	0.778863258581737	0.851822755715831	100017	Ldlrap1
100019	344	299.8	0.201439706768886	6.20347312138611	16.5822310724972	0.000539977162297543	0.00272725935779333	100019	Mdn1
100034361	104.2	100	0.0504412526246761	2.50276048245747	0.293840160543995	0.592786894363228	0.703947517206751	100034361	Mfap1b
100034726	784.4	785	-0.00297400013603354	5.54226255938241	0.00404472578697397	0.949818934990299	0.969529735023697	100034726	Gm15772
100036521	1816	1921	-0.0818002369364148	5.08041589615636	3.57330184702187	0.0708972046249276	0.13932674312015	100036521	Umad1
100036768	83.8	103.4	-0.279777789677397	1.12397179507295	4.34918918191263	0.0478752613259054	0.102775735512348	100036768	Gm11696
100037258	3169.4	2091.6	0.601234445161728	6.0442237449119	212.73799481023	2.12930093446202e-13	9.72666664562062e-11	100037258	Dnajc3
100037262	42.6	38.8	0.130019925244683	0.968826842844258	0.813156968243108	0.376183400119992	0.508164006106015	100037262	Gm12359
100037278	90.4	52	0.806756498788135	1.2649804747223	33.6007345989007	5.71154418999564e-06	6.59382266151733e-05	100037278	Fam129c
100037282	157.2	167.2	-0.0889705486556842	2.47496466757874	0.844345198314054	0.367334853458222	0.499478642698509	100037282	Rsph3b
100037283	260.8	346.6	-0.444175572084579	0.659040560522909	4.83425995717334	0.0382656993142607	0.0860844230176379	100037283	Rnaset2a
100037396	416.2	371.6	0.171712988772083	3.5025645117612	6.35947513354301	0.0187506434333347	0.0483535771963284	100037396	D030047H15Rik
100038347	2513.2	2224	0.181504414214482	5.18104617098806	8.46525673602878	0.00867667894380847	0.026084175843138	100038347	Fam174b
100038356	255.6	398.8	-0.61578138755347	2.33770989207464	31.1580806801681	9.73240552205696e-06	0.000101862555695736	100038356	Gm15612
100038392	60.8	58.4	0.0746125780169343	0.662891370404408	0.270828920873658	0.607562335894773	0.717166680524545	100038392	Gm10785
100038411	97.4	104.6	-0.1601492353046	0.505905277914354	0.59584146319506	0.448142571126259	0.577518966035926	100038411	Gm15998
100038416	58.4	86.6	-0.595331303426291	0.657714291447399	17.6418622293817	0.000319426940285138	0.00179509992024937	100038416	Gm10643
100038453	76.8	92.6	-0.257153029300282	0.651663266115639	2.57743834651946	0.121525793311486	0.213016470594739	100038453	Gm12522
100038486	34.2	44.2	-0.368929172186656	1.86224296345384	9.332632792971	0.00545924911121632	0.0177800781103021	100038486	Gm10742
100038526	169.6	175.8	-0.0421493085112543	2.81305342976906	0.300135257428648	0.58887634788744	0.700602414385139	100038526	Gm10560
100038538	35.4	33.6	0.0833799497619827	1.56666541280011	0.638526254868265	0.432112057791049	0.563593907535807	100038538	Gm10767
100038570	77.4	89	-0.190770444689225	1.00582473520421	1.37867693435631	0.251890016331162	0.37445747677788	100038570	Prcd
100038575	77.4	68.6	0.161162445516245	2.68089088520371	2.38424523770227	0.136267947919342	0.233699207312075	100038575	Gm10635
100038577	53	84	-0.701802391048467	0.837734005972399	18.4405706800938	0.000251679395206149	0.00146921404616708	100038577	Gm10790
100038591	115.6	103.6	0.170144726364104	1.15664310086145	1.85284558545459	0.186145017713299	0.296608865408646	100038591	F420014N23Rik
100038605	51.6	66.4	-0.348139651051033	2.20576352375083	12.7506358326887	0.00155239753341551	0.00641279049670986	100038605	E030047D23Rik
100038614	5.2	6.4	-0.238692622197748	1.19044521095362	4.46609503186277	0.0452020794337667	0.0981154612007304	100038614	Gm10791
100038647	8	4.4	0.667163301237033	1.03787033774341	18.2290622842193	0.000267949078451927	0.00154560904082382	100038647	Gm10572
100038688	129.6	102.2	0.352493132099712	0.209998783918795	4.71481564099331	0.0400549765276867	0.089142679836821	100038688	Gm10724
100038712	170.6	156.2	0.127218837261665	2.38651369225328	2.65478451757414	0.116345046766938	0.205933297326638	100038712	Gm10516
100038713	36.4	34.2	0.0735970513874956	0.662982884803304	0.19976585158652	0.658932513641841	0.759869997780371	100038713	Gm10432
100038725	82.4	98.2	-0.25268832750425	2.81967671386348	11.8465499610451	0.00213483978687474	0.00827042998646141	100038725	Cep85l
100038739	54.4	58	-0.0962319383033931	1.65449205509512	0.719591165334973	0.404691080474352	0.536347412174609	100038739	Gm10615
100038746	1021.2	1118.8	-0.130770433520607	3.78132963632192	5.59851385940202	0.0264251896981474	0.0638284912929517	100038746	Gm1976
100038882	83.2	59	0.502653651898811	0.814561376566193	14.0823554548382	0.000986807484425048	0.00445589358946568	100038882	Isg15
100038999	26.2	31	-0.254985128995957	0.949116358614335	2.71574920444189	0.112443289577027	0.200500284671398	100038999	Gm13552
100039017	256.8	279.8	-0.128109450863813	2.13455168509027	2.06171647071449	0.163995415519837	0.26887360888427	100039017	Gm2007
100039027	7	6.4	0.109876144100041	0.854994916515932	0.653043044950086	0.42699464369416	0.558231836397655	100039027	Gm2011
100039060	36.2	36.8	-0.0428461941264242	1.2246681460235	0.143860432948573	0.707820806967492	0.799159658171233	100039060	0610010B08Rik
100039062	1495.6	2047.8	-0.469767430312743	1.07538198977574	10.0631133332214	0.00411983827741835	0.0142698639975569	100039062	Gm2027
100039138	137.6	174	-0.331530765881989	0.725532216049761	5.28599621637621	0.0305425473289677	0.0716891814051476	100039138	Gm2061
100039239	25	26	-0.0438062372950337	2.11826531165634	0.19402030500723	0.66354822935429	0.763061986402014	100039239	Gm2115
100039252	886	882.6	0.00693447667881373	3.31204231223312	0.0141914016016635	0.90616951493783	0.940999652914103	100039252	Gm12693
100039257	764.4	1012.2	-0.340805586635699	0.415197490348441	3.19582878411304	0.0865100483909965	0.163123111964034	100039257	Tmem254b
100039304	41	33.8	0.185010025152902	1.99500605467274	1.09501594498135	0.310626733337393	0.439831387505748	100039304	Gm2148
100039307	268.6	369.2	-0.453914659539703	0.473615091790374	9.41427247525298	0.00528816523553114	0.0173597865805966	NA	NA
100039419	1025.4	1027.6	-0.00846473007793098	5.27006663994115	0.0287483482140504	0.866787835508845	0.913098431403341	100039419	Gm2223
100039422	729.4	811.2	-0.147228488157575	3.71866784350336	4.88067356521505	0.0369889025852621	0.083746490909677	100039422	Gm2225
100039495	15.8	23.2	-0.556325191562402	1.35350440632677	14.7670663007596	0.000787235404742083	0.00371852958828172	100039495	Gm15706
100039503	311.6	230.8	0.430701270277076	2.28152278355433	24.4065140764952	4.88456078674818e-05	0.000378966406933216	100039503	Gm2274
100039571	21.8	21	0.0299302222576715	0.998740531138004	0.0448067273323525	0.8341538599427	0.889673840880445	100039571	Gm10335
100039636	9268.6	9378.6	-0.0175282856338749	7.15128415682769	0.20065666754817	0.658224063661667	0.7592347471204	100039636	Atp6v0c-ps2
100039684	213.2	239	-0.202426912583449	0.822610519750567	1.17355139616553	0.289871753518354	0.416730288974964	100039684	5031434O11Rik
100039707	172.8	186.8	-0.100565878406066	1.46060209331831	0.66843260814104	0.421671801639748	0.553071163421136	100039707	Mthfsl
100039768	556.4	696.6	-0.323228229738828	4.6290687323883	32.650983599756	7.00664841009043e-06	7.81366516390767e-05	100039768	1700024F20Rik
100039786	2218.8	2215.4	-0.000268219583106505	4.80376484895754	3.20901919095434e-05	0.995527153640774	0.997086205312472	100039786	Gm2423
100039795	7678.4	7658.2	0.00357216727084379	7.54879026148636	0.011199516997971	0.916601908696535	0.947856071741866	100039795	Ildr2
100039826	44.8	42.2	0.0727699029695616	3.38119395753974	0.61815622126251	0.440242553070905	0.570491829127385	NA	NA
100039863	19.8	22.8	-0.224990148636311	0.556608940169356	1.38596684338508	0.25067446608098	0.373030858924584	100039863	Gm13306
100039864	375.2	318.6	0.229786554284009	3.25728918306472	9.59058193745104	0.00493839476949758	0.0164431140286381	100039864	Snhg12
100039968	113.2	102.2	0.129507363048843	1.39302634284346	1.19457230647107	0.285299867067279	0.411860927616855	100039968	Tmem35b
100039988	66.4	59	0.162421738696058	2.65192921856297	1.82486507701311	0.191655832345455	0.303316916754758	100039988	Gm11826
100040052	232.2	211.2	0.153703574271382	2.49940459750447	2.44779791266897	0.13083072771728	0.226524597319785	100040052	Gm2573
100040123	239.6	219.4	0.120631675335615	2.57255851352211	1.95356972190185	0.175037724804236	0.28277582142846	100040123	Gm2614
100040220	1210	1250.2	-0.0511024944075563	5.04599073485861	1.24954917767818	0.274745420433514	0.400238894068334	100040220	Gm9892
100040244	7.2	6	0.224365859593661	1.27853657127761	3.14692574944399	0.0888082946884049	0.16625244028315	100040244	Gm14698
100040260	48.4	56.8	-0.225605515683184	0.85354903723588	2.82998812165761	0.105535787724731	0.190700622049414	100040260	Atf1-ps
