	S3SD5	WTSD5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	269.2	295.4	-0.154987438117864	1.29000906440979	1.26530051703246	0.269235719834079	0.83839724652584	100008567	Gm14964
100009600	41.6	43.2	-0.0817733331349546	-0.130229086283104	0.159895439408119	0.691979268752153	0.964321820332281	100009600	Zglp1
100017	52.6	63.6	-0.265854163310976	1.44155271048566	4.44729049552897	0.0430871360325472	0.57403312205126	100017	Ldlrap1
100019	310.2	317.2	-0.0351171178229163	6.21428396962063	0.226869598353631	0.638678220761333	0.954284748923429	100019	Mdn1
100034361	278.6	277	0.00399344377077027	2.51917010682223	0.00202820943011325	0.964366115698707	0.99858811829389	100034361	Mfap1b
100034726	1055.4	1089.8	-0.0485258402251244	5.54558138252108	0.963793418249025	0.333905793164996	0.862571736277341	100034726	Gm15772
100036521	1651.2	1593.6	0.0501620970733579	5.08039790161259	1.56734312145836	0.219904349400749	0.804071219145283	100036521	Umad1
100036768	206	213.4	-0.0382602840684417	1.10655331148374	0.087746959116031	0.785727938764108	0.975843561784411	100036768	Gm11696
100037258	3585	3506.8	0.0278106426580056	6.07832642412807	0.402995765756711	0.530214747638494	0.927402793033626	100037258	Dnajc3
100037262	39.6	41.4	-0.0913766852455032	0.975761900244946	0.419815268492661	0.521772542548233	0.924221848888998	100037262	Gm12359
100037278	124.6	131.4	-0.0997406106246186	1.21631487825959	0.587373290750415	0.449200933569091	0.908269161981638	100037278	Fam129c
100037282	296	328.8	-0.151334042677885	2.44623699353789	3.32247126647601	0.0779420436573853	0.667767726272792	100037282	Rsph3b
100037283	23.2	21.6	0.132881313473611	0.603535330107921	0.557407390633416	0.460899946456766	0.911268310118897	100037283	Rnaset2a
100037396	531	539.4	-0.0344048453623876	3.48949354594288	0.270478761727278	0.606684284905533	0.948959580446679	100037396	D030047H15Rik
100038347	1805	1813.8	-0.0113593369747783	5.17953012025872	0.0489297523567471	0.826382054331198	0.979151709748713	100038347	Fam174b
100038356	149.8	141.2	0.0765321692501948	2.29846466841539	0.567850386299391	0.456767743530349	0.910805421337948	100038356	Gm15612
100038392	27.2	24.8	0.109630017236744	0.621830145359502	0.793975083846146	0.433594978541956	0.90016602892662	100038392	Gm10785
100038411	73.2	80.6	-0.123294707377106	0.481307083759285	0.384720332696946	0.539595362404555	0.931918166479107	100038411	Gm15998
100038416	111	109.4	0.0505020896382191	0.612014810897341	0.0954571733672746	0.759406097490618	0.972186531417718	100038416	Gm10643
100038453	99.6	117	-0.247093957518975	0.619999180998649	2.3152540574992	0.138188979148287	0.735333793228495	100038453	Gm12522
100038486	85.8	73.6	0.235553445498365	1.92346663913427	3.95834223960944	0.055472870946703	0.607771856466007	100038486	Gm10742
100038526	423	445.6	-0.0815826987919231	2.76671110631643	1.46691744516566	0.234933471165503	0.815788432451512	100038526	Gm10560
100038538	69.4	72.8	-0.0744494464027563	1.58463964729278	0.52947370420996	0.472257664734984	0.913997968130408	100038538	Gm10767
100038570	64.8	70.6	-0.140701711726514	0.879023948140818	0.84548978241121	0.364891164599409	0.880218907937826	100038570	Prcd
