	KOHC5	WTHC5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	224.6	216	0.062735247190273	1.32193412474597	0.389661445561237	0.538409661671424	0.917697711588872	NA	NA
100009600	33.2	37.6	-0.153380318624729	0.0367429404802465	0.492640920442958	0.489790791639796	0.90483590265358	100009600	Zglp1
100017	19.6	19	0.0378029185914563	1.45644395990687	0.142987466553563	0.708677320702334	0.961639196211931	100017	Ldlrap1
100019	362.2	369.8	-0.0255118402131022	6.20352060595856	0.303679954208687	0.587657951826823	0.932996222063153	100019	Mdn1
100034361	110.4	102	0.0987176111136987	2.50279602648568	1.55559697292007	0.224433197596829	0.794188047718688	100034361	Mfap1b
100034726	732.8	746.2	-0.027492628826887	5.54226764324425	0.449034394279111	0.509237606523981	0.911099509515273	NA	NA
100036521	2003.6	1922	0.0586917163199263	5.08040393141074	2.41417913154931	0.133425780015778	0.705226288728541	100036521	Umad1
100036768	85.2	89.8	-0.0693887535211452	1.12394280086192	0.409197695884403	0.528480969110923	0.915629710657714	NA	NA
100037258	2122.4	2086.4	0.0247889611156836	6.04434394459422	0.438114812198252	0.514385706501967	0.911966094262771	100037258	Dnajc3
100037262	45	44.2	0.0219415910296381	0.968892878189739	0.0313205070054036	0.861023193466283	0.983044676269787	NA	NA
100037278	44.2	45.6	-0.0372818321210966	1.2650653113888	0.0843122944186709	0.774048919036771	0.976156712900761	100037278	Fam129c
100037282	129.4	136.8	-0.0782259258899619	2.47494320961905	0.912408083972497	0.34906895413683	0.854264280415935	100037282	Rsph3b
100037283	471.6	471.4	0.0141116941360844	0.659009351769874	0.00788776931941128	0.930001942105479	0.993271592241361	100037283	Rnaset2a
100037396	401.4	388.8	0.0504561970078406	3.50257896857367	0.729707381631017	0.401486327945413	0.874638616281522	NA	NA
100038347	2149.6	2242.6	-0.0562966573427782	5.18107653611592	1.03066991004238	0.322209530693856	0.847544646284895	100038347	Fam174b
100038356	391	415.6	-0.0785890581351865	2.33761695150377	0.790040608319567	0.382974818690746	0.867294451666607	NA	NA
100038392	64.2	66	-0.0605432641462905	0.662908276783343	0.244720974566334	0.625348242310871	0.942263924659626	NA	NA
100038411	123.8	111	0.119869547841985	0.50587980934202	0.530142556528866	0.473992660924983	0.901933902186638	NA	NA
100038416	85.4	96	-0.151470148087384	0.657659593271319	1.90757772861142	0.18005117358735	0.76070567338019	NA	NA
100038453	72.6	86.2	-0.221017876794304	0.65164298847294	2.81882683381045	0.106234599732691	0.674951606389589	NA	NA
100038486	41.2	39.2	0.0908502495491467	1.86218808505193	0.865296101015811	0.361591426343646	0.858547904627958	NA	NA
100038526	151.8	163.4	-0.108759904463927	2.81305004992971	2.77408866305546	0.108898251050506	0.678296146053244	NA	NA
100038538	25.8	29.8	-0.179836843574027	1.56671865218177	3.91197696336215	0.0596213844668293	0.585439871660021	100038538	Gm10767
100038570	70	89	-0.30300519556247	1.00578019080468	5.05944020472374	0.0340101552215888	0.503574421248726	100038570	Prcd
100038575	65.2	70.6	-0.108411505470622	2.68092101294731	1.39688681581528	0.249369345224113	0.809809513257297	NA	NA
100038577	99	99.4	-0.00475037551379637	0.837691179671217	0.00148172390332567	0.969615227188692	0.996221436086584	NA	NA
100038591	108.8	111.4	-0.0299768269589247	1.15664544041677	0.0801677823628931	0.779515888358294	0.976156712900761	NA	NA
100038605	64	67	-0.0599669487088881	2.20573567103685	0.562998013970857	0.46040157310603	0.896775821969941	NA	NA
100038614	5.8	7.2	-0.258650950679758	1.19046832971672	7.38787540771535	0.0120437635709843	0.396703153671498	NA	NA
100038647	6.4	6	0.077073553880096	1.03795483477802	0.301317641036654	0.588165832203845	0.932996222063153	NA	NA
100038688	109.2	105.6	0.0468010512801345	0.210012410309381	0.110933591943189	0.741997098948342	0.969273278656664	NA	NA
100038712	161.8	159.6	0.0172503664422558	2.38655589950768	0.0655391007182449	0.823481921828733	0.979384777436046	NA	NA
100038713	29.8	28	0.0909997488340034	0.662988797522561	0.441900980493484	0.512590243977206	0.911940794614163	NA	NA
100038725	134.2	129.2	0.0555471237870784	2.81968943195226	0.831441496220861	0.370990915756567	0.862005758268974	100038725	Cep85l
100038739	58.4	61.8	-0.0889480508845944	1.65449770946798	0.877542725535983	0.358275436000901	0.85793639849127	NA	NA
100038746	1177.6	1250.4	-0.0811472520754849	3.78131017087915	2.84250109362702	0.104855802434096	0.671914854559784	NA	NA
100038882	75.2	75.4	-0.0145475196149038	0.814574284468741	0.0154376540203926	0.902161024424497	0.989527224109717	100038882	Isg15
100038999	25.4	23.8	0.100850433313951	0.949090808994511	0.686563265894872	0.415560159898947	0.881734746165858	NA	NA
100039017	317.6	330.8	-0.0611298286295425	2.13457334614725	0.645453945590869	0.429685974114897	0.887008845594839	NA	NA
100039027	7.2	7.4	-0.0544273854781867	0.855044512207417	0.217122880961602	0.645473074025012	0.948040627167719	NA	NA
