	KOSD5	WTSD5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	183.2	199.6	-0.131894267960312	1.32193412474597	1.14600450785803	0.295113176232328	0.778506118384401	NA	NA
100009600	69	70.2	-0.0253825049512908	0.0367429404802465	0.0151741028170574	0.90303165955209	0.984671244848994	100009600	Zglp1
100017	15.4	18.4	-0.230329563590448	1.45644395990686	3.56585304691694	0.0712159878819591	0.564723185039201	100017	Ldlrap1
100019	424	423.8	0.00154422035650544	6.20352060595856	0.00104566485337288	0.97452243580199	0.99654929153235	100019	Mdn1
100034361	105.8	106.6	-0.0192212457650115	2.50279602648568	0.0459484723897435	0.832093621492785	0.972102104262277	100034361	Mfap1b
100034726	724	745.4	-0.0457681306115508	5.54226764324425	1.08387857509879	0.30828206927109	0.782690401166564	NA	NA
100036521	1859.8	1815.8	0.0324257945762798	5.08040393141074	0.629043555472723	0.435534444323229	0.855239656775058	100036521	Umad1
100036768	69.4	73.2	-0.0563307071123365	1.12394280086192	0.16835349461192	0.685245873439541	0.931929599457811	NA	NA
100037258	3193.2	3160.6	0.00991701450769463	6.04434394459423	0.0694088045748143	0.794464802706737	0.962789826303612	100037258	Dnajc3
100037262	47.2	48.8	-0.0621670695394303	0.968892878189742	0.205951842053793	0.654066108288852	0.924998617694498	NA	NA
100037278	75.8	79.6	-0.0799963716547857	1.26506531138881	0.390527863259461	0.537962002201174	0.888976950918157	100037278	Fam129c
100037282	115.4	129	-0.165104230119418	2.47494320961905	2.94227329702003	0.0992689969208794	0.631287256344281	100037282	Rsph3b
100037283	385.8	354.2	0.12429869575696	0.659009351769874	0.385678150644098	0.54070765265631	0.889050525857694	100037283	Rnaset2a
100037396	433.2	436	-0.0134681315445675	3.50257896857367	0.0439083620758699	0.835805724797831	0.972634557135452	NA	NA
100038347	2489.8	2534.6	-0.0295966665150979	5.18107653611592	0.257728698922389	0.617276061603764	0.914337794058292	100038347	Fam174b
100038356	282	266	0.0596767388151351	2.33761695150376	0.295932799893843	0.591498727556874	0.906245771476262	NA	NA
100038392	74.2	68.6	0.0954046468150907	0.662908276783346	0.505280520445878	0.506422433091701	0.881424423563023	NA	NA
100038411	95.6	104	-0.0859900897991419	0.505879809342018	0.164494848164849	0.688849548141915	0.932559380098513	NA	NA
100038416	66.4	65.2	0.0597042250892142	0.657659593271316	0.162044474715892	0.708744219060717	0.940914604351279	NA	NA
100038453	59.6	71.2	-0.275002898764095	0.65164298847294	2.74068139572086	0.11093813496208	0.643214005238555	NA	NA
100038486	34.4	30	0.206435440221763	1.86218808505193	2.92828424274648	0.100031099350377	0.632678395955732	NA	NA
100038526	150.4	158.2	-0.0770838348686259	2.81305004992971	1.07178920196421	0.310936482510429	0.784578222964135	NA	NA
100038538	30	31.4	-0.0808039447437141	1.56671865218177	0.643959783512647	0.430213370367093	0.851939177323739	100038538	Gm10767
100038570	71	77.4	-0.127353131892262	1.00578019080468	0.588775957783244	0.450430920534011	0.858031044199939	100038570	Prcd
100038575	72	79.4	-0.13776176602034	2.68092101294731	1.92009335421956	0.179189884213107	0.699971106536148	NA	NA
100038577	62	63	0.0139449475855788	0.837691179671217	0.00646773109338416	0.936573240315502	0.991137221615356	NA	NA
100038591	109	125	-0.194442137462987	1.15664544041677	2.55458788244257	0.123154293274103	0.656863794970003	NA	NA
100038605	50.8	51.8	-0.0317103985340533	2.20573567103685	0.107618602469187	0.745737504303599	0.951585219373909	NA	NA
100038614	6	6	0.0490474658613954	1.19046832971672	0.192792812030523	0.677752510413298	0.930400793911444	NA	NA
100038647	10.8	9.8	0.130371024133643	1.03795483477802	0.889504997909176	0.355078210935828	0.813688019528074	NA	NA
100038688	136.4	133.6	0.0289838984792252	0.210012410309383	0.0361983801838693	0.850718275134753	0.974877096127316	NA	NA
100038712	175.2	174.6	0.00178851952988193	2.38655589950768	0.000586422477923266	0.999543348241624	0.999829658112774	NA	NA
100038713	26	29.6	-0.212297045175494	0.662988797522561	1.68681397777117	0.206452230285521	0.717147899170988	NA	NA
100038725	113.6	108	0.0811695483322628	2.81968943195226	1.38148813444544	0.251461098045271	0.751420035382746	100038725	Cep85l
100038739	60.2	58	0.046109301688525	1.65449770946798	0.175502680200274	0.679019965502981	0.930400793911444	NA	NA
100038746	1111.6	1140.4	-0.0398354947152991	3.78131017087915	0.559937526851023	0.461609158808768	0.861317994149435	NA	NA
100038882	82.8	106.6	-0.393388749096415	0.814574284468741	9.18238662947475	0.005804652449089	0.231769189224123	100038882	Isg15
100038999	19.4	20.4	-0.0610522385196339	0.949090808994511	0.145262608560865	0.706482066208914	0.939938492726771	NA	NA
100039017	289	302.8	-0.0673219202766891	2.13457334614725	0.616116551482424	0.440230211437934	0.856190043819127	NA	NA
100039027	8	8.2	-0.0131561833931716	0.85504451220742	0.0102016780880022	0.955754948998626	0.994079629238825	NA	NA
