	S3SD5	WTSD5	logFC	logCPM	F	PValue	FDR	check	gene
100008567	203.4	221.2	-0.128689347453003	1.32193505226899	1.08751264881801	0.307454038729101	0.784178696980842	100008567	Gm14964
100009600	57.2	58.4	-0.0249523732564473	0.0366907413924521	0.0146451927541029	0.904725863908945	0.984211941287829	100009600	Zglp1
100017	16.8	20.2	-0.232477005087127	1.4564764973829	3.65232484311581	0.0680529213623589	0.555417216567083	100017	Ldlrap1
100019	346.2	347	-0.000844468254570688	6.20347318906236	0.000343012765729984	0.98539699333144	0.998104330950733	100019	Mdn1
100034361	103.6	104.2	-0.0194905711741864	2.502760532852	0.0478255268164621	0.828747296387504	0.969859433211756	100034361	Mfap1b
100034726	759	781.6	-0.0459431782950699	5.54226256661782	1.09547244296204	0.305728973950694	0.782167299394545	100034726	Gm15772
100036521	1848.8	1805.2	0.0327102763382823	5.08041587911876	0.647949622434154	0.428779800136346	0.853299178033532	100036521	Umad1
100036768	79	82.8	-0.053179161788931	1.12397175405109	0.151524811248474	0.700528134330864	0.937651651970188	100036768	Gm11696
100037258	3166.8	3133.2	0.0109021780421738	6.04422391618423	0.0847328490191511	0.7734936702997	0.958936269806501	100037258	Dnajc3
100037262	40.6	42	-0.0586594633302058	0.96882693627732	0.185198342747285	0.670798040600375	0.931254613108139	100037262	Gm12359
100037278	86	90.2	-0.078683721944337	1.26498059476433	0.379828001066916	0.54351954600683	0.892554586697736	100037278	Fam129c
100037282	138.8	155.2	-0.165197590465313	2.47496463714944	2.95595484363717	0.0984850171266777	0.630147161376273	100037282	Rsph3b
100037283	291.4	267.4	0.126627276705206	0.659040516380176	0.398631958085346	0.534045679208951	0.888701760504492	100037283	Rnaset2a
100037396	415.6	418.2	-0.0134129231350762	3.5025645322675	0.0437375429061078	0.836114429983838	0.971010603485971	100037396	D030047H15Rik
100038347	2472.2	2517.6	-0.0298246744971953	5.18104621418616	0.263611370564913	0.613280999633735	0.913869502668013	100038347	Fam174b
100038356	270.6	255.4	0.0609612428909911	2.33770976039986	0.307586651363007	0.584316580907004	0.905347572516248	100038356	Gm15612
100038392	66	61.4	0.0937914138996893	0.662891394318092	0.487751414841332	0.513953424439362	0.884156486175499	100038392	Gm10785
100038411	89.8	97.4	-0.0833443008985989	0.505905241891695	0.15443241987014	0.698006483434424	0.93713288222186	100038411	Gm15998
100038416	59.6	58.2	0.0615132076774669	0.65771421407253	0.172304464239672	0.700755823377022	0.937651651970188	100038416	Gm10643
100038453	63.4	75.6	-0.272595948343396	0.651663237426307	2.69962303770549	0.113461047716977	0.648064319203988	100038453	Gm12522
100038486	39	34.2	0.20647608831217	1.86224288576358	2.97260164181687	0.0975946618919116	0.626391315713006	100038486	Gm10742
100038526	159.8	167.8	-0.0765808460408172	2.81305342496062	1.05602679778704	0.314408616103784	0.789285821350137	100038526	Gm10560
100038538	33.2	34.6	-0.078965039312724	1.56666548816085	0.619315302564799	0.439034001824873	0.855275879616263	100038538	Gm10767
100038570	71.8	78.6	-0.129878780579973	1.00582467216875	0.612521998822774	0.44152353103094	0.856633872864603	100038570	Prcd
100038575	70	77.6	-0.142435488592822	2.68089092789124	2.042193239072	0.166492140590196	0.695416553121264	100038575	Gm10635
100038577	52.4	53.4	0.0165697172508429	0.837733945395222	0.00918805071677743	0.924435237998645	0.988297849854469	100038577	Gm10790
100038591	100.8	115.4	-0.196683724677158	1.15664310415904	2.58490369016438	0.121014883673407	0.65570586208787	100038591	F420014N23Rik
100038605	50.6	51.6	-0.0335785165672184	2.20576348431805	0.121039142096135	0.730954794948726	0.947808433317384	100038605	E030047D23Rik
100038614	5.8	5.2	0.048651366154046	1.19044524367741	0.193156047113898	0.685005752245264	0.93232946887704	100038614	Gm10791
100038647	8.8	8.2	0.126920324555959	1.03787045730379	0.842009909962762	0.36798744546535	0.822662817449414	100038647	Gm10572
100038688	132.2	129.6	0.0279587289130563	0.209998803188509	0.0335779057251713	0.856152729252236	0.974877375023384	100038688	Gm10724
100038712	170.4	169.6	0.00250022625740445	2.38651375205349	0.00114410779710164	0.991445919564589	0.998132752905592	100038712	Gm10516
100038713	31.8	36.4	-0.210908711837792	0.662982893172159	1.64305069886599	0.212199481684675	0.722017727935568	100038713	Gm10432
100038725	86	81.8	0.0798916491886409	2.81967673193254	1.31487026438531	0.262861971368063	0.761784096042751	100038725	Cep85l
100038739	56.8	54.4	0.0463509814963831	1.65449206309857	0.177313890199196	0.677453430265955	0.931254613108139	100038739	Gm10615
100038746	998.4	1023.4	-0.0390816764870903	3.7813296086868	0.54892702826552	0.465971798773436	0.865145328127327	100038746	Gm1976
100038882	66.2	85	-0.393620315658598	0.814561394820278	9.19289959015612	0.00576656796057713	0.230248545033651	100038882	Isg15
100038999	25.2	26.8	-0.0618729753658387	0.949116322473185	0.148220986440027	0.703645105971358	0.938511034687907	100038999	Gm13552
100039017	244.4	255.8	-0.0667228241912237	2.13455171577028	0.606555531387462	0.443728594928635	0.85744025549445	100039017	Gm2007
100039027	6.8	7	-0.0133775781085033	0.854994986679383	0.0106465810243681	0.950596101307082	0.993773763076274	100039027	Gm2011
100039060	32.4	35.8	-0.140525124377162	1.22466817306721	1.62438073361749	0.222268798547119	0.729121047628246	100039060	0610010B08Rik
100039062	1756	1485	0.271762426366571	1.07538195227576	3.52587609766064	0.072670434620855	0.564492269757555	100039062	Gm2027
100039138	127.4	137.6	-0.138012631614424	0.725532179506868	0.868368642562337	0.360723083086946	0.817480627616606	100039138	Gm2061
100039239	24.4	25.2	-0.0361942607824688	2.11826532427407	0.13873915948234	0.712819330389689	0.941825969719514	100039239	Gm2115
100039252	891.8	897.6	-0.00358411151517186	3.31204230811524	0.0042539104111759	0.948539562951259	0.992700806813229	100039252	Gm12693
100039257	724.8	778	-0.101606909889017	0.415197462322954	0.279971979347531	0.601598450749916	0.910512498101066	100039257	Tmem254b
100039304	33	37.2	-0.0636640088630868	1.99500618746029	0.133226001026059	0.719797869117847	0.944115162906432	100039304	Gm2148
100039307	291.2	270.2	0.143880833122573	0.473615040297781	0.941335056440997	0.341648883002095	0.806857963830482	NA	NA
100039419	1002	1024.4	-0.0309713001752454	5.27006665554057	0.433453252026628	0.516589941231382	0.884535840280588	100039419	Gm2223
100039422	790.2	729	0.109730828427423	3.71866779923503	3.04336492665684	0.0939124155249961	0.613599853583514	100039422	Gm2225
100039495	17.2	15.8	0.171123818165397	1.35350433591327	1.31552224776237	0.262746766704115	0.761784096042751	100039495	Gm15706
100039503	310.2	312.6	-0.026255481065984	2.28152291825948	0.106086364321304	0.747478170031676	0.952906109511188	100039503	Gm2274
100039571	22.4	21.4	0.041675856295072	0.998740572279672	0.0895841972400348	0.767292977782599	0.956821320735741	100039571	Gm10335
100039636	9781.4	9377.6	0.0633131738256402	7.15128412679686	3.03645056036681	0.0942650391522802	0.614476466066961	100039636	Atp6v0c-ps2
100039684	233.6	216.6	0.109955847865894	0.822610472793665	0.358823026262186	0.555001660325054	0.89641267768089	100039684	5031434O11Rik
100039707	151.2	176.6	-0.201133652055818	1.46060206355741	2.75941280757919	0.109743425260471	0.644337017229305	100039707	Mthfsl
100039768	581.6	558.6	0.0675202835901999	4.62906856503785	1.53100816849603	0.22797694180127	0.736023836675352	100039768	1700024F20Rik
100039786	2252.6	2259.6	-0.00378035593562482	4.80376480788815	0.00722960821307274	0.932947882748943	0.989626264323627	100039786	Gm2423
100039795	8211.8	7677	0.0963506320645603	7.54879027013373	9.70771485451876	0.00472028458445945	0.209914551227035	100039795	Ildr2
100039826	61.8	45	0.469316063029209	3.38119394035858	29.0046713054063	2.18373260773513e-05	0.0116902485600754	NA	NA
100039863	22.4	20	0.174573212573747	0.556608947085156	0.911230443194863	0.349341312571712	0.811625103704558	100039863	Gm13306
100039864	357.2	377	-0.0856450386743118	3.25728923769053	1.47028999162588	0.237146479665445	0.741610550302618	100039864	Snhg12
100039968	122.8	113.2	0.115086413834401	1.39302635550607	1.033971423675	0.319408383851817	0.791484447144551	100039968	Tmem35b
100039988	69	65.6	0.06167874168281	2.65192926216404	0.289651655206657	0.596318943997489	0.909842545384484	100039988	Gm11826
100040052	253.2	238.6	0.0700310846129044	2.49940455548827	0.568933648584663	0.458048619271273	0.861820372574494	100040052	Gm2573
100040123	237.8	243.8	-0.0376207402643805	2.57255845348495	0.207139084274365	0.653125308898482	0.924157926071332	100040123	Gm2614
100040220	1218	1204	0.0163516215318113	5.04599076418364	0.14467856698794	0.707032019743159	0.939373178910527	100040220	Gm9892
100040244	6.2	7.2	-0.20050668527058	1.27853663060221	2.63428587693006	0.117693181096287	0.651645799959958	100040244	Gm14698
100040260	51.4	47.8	0.120723080836388	0.853549032457275	0.839079433823395	0.368808057806969	0.822905881544427	100040260	Atf1-ps
100040293	62.2	79.2	-0.380424858686389	-0.146468378796341	4.43197705461938	0.0459650939671182	0.49107732302861	100040293	Mindy4b-ps
