	ph1$kmeans$cluster	check	gene
Adcyap1	1	Adcyap1	11516
Atp6v0c	1	Atp6v0c	11984
Clstn3	1	Clstn3	232370
Cntn1	1	Cntn1	12805
Cttnbp2	1	Cttnbp2	30785
Ddah1	1	Ddah1	69219
Dusp10	1	Dusp10	63953
Gng4	1	Gng4	14706
Jun	1	Jun	16476
Map3k5	1	Map3k5	26408
Parvg	1	Parvg	64099
Pdyn	1	Pdyn	18610
Phf21b	1	Phf21b	271305
Rab3b	1	Rab3b	69908
Rnd1	1	Rnd1	223881
Sema3a	1	Sema3a	20346
Slc6a13	1	Slc6a13	14412
Slc7a11	1	Slc7a11	26570
Sst	1	Sst	20604
Taf15	1	Taf15	70439
Zmynd19	1	Zmynd19	67187
Ablim2	2	Ablim2	231148
Aifm3	2	Aifm3	72168
Ccbe1	2	Ccbe1	320924
Ccdc92	2	Ccdc92	215707
Cfap100	2	Cfap100	243538
Ddn	2	Ddn	13199
Dnajc28	2	Dnajc28	246738
Echdc2	2	Echdc2	52430
Elk1	2	Elk1	13712
Glt8d2	2	Glt8d2	74782
Gm7984	2	Gm7984	666211
Gprin1	2	Gprin1	26913
Gsg1l	2	Gsg1l	269994
Hlf	2	Hlf	217082
Hrk	2	Hrk	12123
Islr2	2	Islr2	320563
Itga11	2	Itga11	319480
Jmy	2	Jmy	57748
Lrrk2	2	Lrrk2	66725
Mapk11	2	Mapk11	19094
Matn2	2	Matn2	17181
Medag	2	Medag	70717
Mgat4b	2	Mgat4b	103534
Nek6	2	Nek6	59126
Nptx1	2	Nptx1	18164
Per3	2	Per3	18628
Pkd1l2	2	Pkd1l2	76645
Plch2	2	Plch2	269615
Postn	2	Postn	50706
Pphln1	2	Pphln1	223828
Prkab2	2	Prkab2	108097
Prrt2	2	Prrt2	69017
Prss35	2	Prss35	244954
Psd3	2	Psd3	234353
Pwwp2b	2	Pwwp2b	101631
Rap1gap2	2	Rap1gap2	380711
Rgs16	2	Rgs16	19734
Rnf207	2	Rnf207	433809
Ryr1	2	Ryr1	20190
Slc24a4	2	Slc24a4	238384
Smarca2	2	Smarca2	67155
Stum	2	Stum	381310
Syt17	2	Syt17	110058
Tbc1d9b	2	Tbc1d9b	76795
Tef	2	Tef	21685
Tmem114	2	Tmem114	74720
Tub	2	Tub	22141
Wipf2	2	Wipf2	68524
Zfp831	2	Zfp831	100043757
Amigo2	3	Amigo2	105827
B3gnt2	3	B3gnt2	53625
Cbarp	3	Cbarp	100503659
Col1a2	3	Col1a2	12843
Fosl2	3	Fosl2	14284
Fst	3	Fst	14313
Gm11549	3	Gm11549	100503068
Gm2444	3	NA	100039826
Gxylt1	3	Gxylt1	223827
Ifrd1	3	Ifrd1	15982
Jcad	3	Jcad	240185
Jdp2	3	Jdp2	81703
Kcnk1	3	Kcnk1	16525
Krt80	3	Krt80	74127
Lsm11	3	Lsm11	72290
Maml3	3	Maml3	433586
Ncf1	3	Ncf1	17969
Nedd9	3	Nedd9	18003
Nfil3	3	Nfil3	18030
Nptx2	3	Nptx2	53324
Ntrk2	3	Ntrk2	18212
Poldip3	3	Poldip3	73826
Prickle1	3	Prickle1	106042
Ptprj	3	Ptprj	19271
Rpl41	3	Rpl41	67945
Sorcs2	3	Sorcs2	81840
Spry4	3	Spry4	24066
Stard8	3	Stard8	236920
Syne1	3	Syne1	64009
Syt12	3	Syt12	171180
Tspan11	3	Tspan11	68498
Vip	3	Vip	22353
Wnk4	3	Wnk4	69847
Zbtb21	3	Zbtb21	114565
Zfp651	3	Zfp651	270210
1810041L15Rik	4	1810041L15Rik	72301
Acr	4	Acr	11434
AI593442	4	AI593442	330941
Ano6	4	Ano6	105722
BC006965	4	BC006965	217294
Ddit4l	4	Ddit4l	73284
Diras2	4	Diras2	68203
Dusp3	4	Dusp3	72349
Fabp7	4	Fabp7	12140
Fxyd7	4	Fxyd7	57780
Hdac9	4	Hdac9	79221
Hmgcr	4	Hmgcr	15357
Insig1	4	Insig1	231070
Kcnk2	4	Kcnk2	16526
Kcnv1	4	Kcnv1	67498
Ldlr	4	Ldlr	16835
Map3k9	4	Map3k9	338372
Mpp3	4	Mpp3	13384
Ppme1	4	Ppme1	72590
R3hdm1	4	R3hdm1	226412
Reln	4	Reln	19699
Rgs4	4	Rgs4	19736
Sema5a	4	Sema5a	20356
Setbp1	4	Setbp1	240427
Sfxn1	4	Sfxn1	14057
Sox4	4	Sox4	20677
Stat4	4	Stat4	20849
Trp53bp1	4	Trp53bp1	27223
Abcd2	5	Abcd2	26874
Amz1	5	Amz1	231842
Bhlhe41	5	Bhlhe41	79362
Bmp1	5	Bmp1	12153
